"Year","Month","Day","Period","G1","G2"
2030,1,1,0,0.841288729,0.247305282
2030,1,1,1,0.104705668,0.767279841
2030,1,1,2,0.28153998,0.407818165
2030,1,1,3,0.547428873,0.875845858
2030,1,1,4,0.432022713,0.930812281
2030,1,1,5,0.038377539,0.432152516
2030,1,1,6,0.449482467,0.040149286
2030,1,1,7,0.99487903,0.177672693
2030,1,1,8,0.759082002,0.10391643
2030,1,1,9,0.132223638,0.100442499
2030,1,1,10,0.15071226,0.823823952
2030,1,1,11,0.932686857,0.522359255
2030,1,1,12,0.614797041,0.627517837
2030,1,1,13,0.658967002,0.845155503
2030,1,1,14,0.95005257,0.261646214
2030,1,1,15,0.747129181,0.485898574
2030,1,1,16,0.59215686,0.756907669
2030,1,1,17,0.418157496,0.500128685
2030,1,1,18,0.993698682,0.31117632
2030,1,1,19,0.135425843,0.209926606
2030,1,1,20,0.982195433,0.294392551
2030,1,1,21,0.548358856,0.631596447
2030,1,1,22,0.608490117,0.974771159
2030,1,1,23,0.906018223,0.638861941
2030,1,2,0,0.082902334,0.972593955
2030,1,2,1,0.845393742,0.664952048
2030,1,2,2,0.65638301,0.069858963
2030,1,2,3,0.044189764,0.151150313
2030,1,2,4,0.668578214,0.68008304
2030,1,2,5,0.342411584,0.382176242
2030,1,2,6,0.821690374,0.821640869
2030,1,2,7,0.170684325,0.105155616
2030,1,2,8,0.1059852,0.372296652
2030,1,2,9,0.669648822,0.424787225
2030,1,2,10,0.426585323,0.940512524
2030,1,2,11,0.534163577,0.157874461
2030,1,2,12,0.943027652,0.112831506
2030,1,2,13,0.894750878,0.47046951
2030,1,2,14,0.960917889,0.357932728
2030,1,2,15,0.752317134,0.194653981
2030,1,2,16,0.756839208,0.976251684
2030,1,2,17,0.017756952,0.223623318
2030,1,2,18,0.192426345,0.500145184
2030,1,2,19,0.850173124,0.492531877
2030,1,2,20,0.865061684,0.47969578
2030,1,2,21,0.733059511,0.715811902
2030,1,2,22,0.767876698,0.994677345
2030,1,2,23,0.91258055,0.65512052
2030,1,3,0,0.864374105,0.90637118
2030,1,3,1,0.479522481,0.070888415
2030,1,3,2,0.673720032,0.668054358
2030,1,3,3,0.687771668,0.849019775
2030,1,3,4,0.471800962,0.863882018
2030,1,3,5,0.815928504,0.7352869
2030,1,3,6,0.13971536,0.581466918
2030,1,3,7,0.738579736,0.449722159
2030,1,3,8,0.550294227,0.977244783
2030,1,3,9,0.436617115,0.990581918
2030,1,3,10,0.625569274,0.043054265
2030,1,3,11,0.523356679,0.314629619
2030,1,3,12,0.186948522,0.726670905
2030,1,3,13,0.177671012,0.807945127
2030,1,3,14,0.483018777,0.416980851
2030,1,3,15,0.659406653,0.364371942
2030,1,3,16,0.354378935,0.076908166
2030,1,3,17,0.631777023,0.680672844
2030,1,3,18,0.446724306,0.886133922
2030,1,3,19,0.768292726,0.599397032
2030,1,3,20,0.987636375,0.200626718
2030,1,3,21,0.773885079,0.613156731
2030,1,3,22,0.278638058,0.229565354
2030,1,3,23,0.7989355,0.246651408
2030,1,4,0,0.921373831,0.586968124
2030,1,4,1,0.152781548,0.176882095
2030,1,4,2,0.028832519,0.9611617
2030,1,4,3,0.697870385,0.126751439
2030,1,4,4,0.572552998,0.539420677
2030,1,4,5,0.139999477,0.709927028
2030,1,4,6,0.957729717,0.658497221
2030,1,4,7,0.211876988,0.374215818
2030,1,4,8,0.206782368,0.938932656
2030,1,4,9,0.658176063,0.118154284
2030,1,4,10,0.308603982,0.501591473
2030,1,4,11,0.929371277,0.409225416
2030,1,4,12,0.711829851,0.545298891
2030,1,4,13,0.022989294,0.542500168
2030,1,4,14,0.416065924,0.063835403
2030,1,4,15,0.500495097,0.873009912
2030,1,4,16,0.052122959,0.275603334
2030,1,4,17,0.827128732,0.170384588
2030,1,4,18,0.588544259,0.023978239
2030,1,4,19,0.370932917,0.657891781
2030,1,4,20,0.1692879,0.343751764
2030,1,4,21,0.88269008,0.715072657
2030,1,4,22,0.861732761,0.465563815
2030,1,4,23,0.431569535,0.853976948
2030,1,5,0,0.170181156,0.558227088
2030,1,5,1,0.652849363,0.057048673
2030,1,5,2,0.934165281,0.011818009
2030,1,5,3,0.388964536,0.026749735
2030,1,5,4,0.476096751,0.448602315
2030,1,5,5,0.049986113,0.874402566
2030,1,5,6,0.296458125,0.599307818
2030,1,5,7,0.122935766,0.150450552
2030,1,5,8,0.571457318,0.078815893
2030,1,5,9,0.410775501,0.583868629
2030,1,5,10,0.797131554,0.908415704
2030,1,5,11,0.051823628,0.123059811
2030,1,5,12,0.532987474,0.089725383
2030,1,5,13,0.335461011,0.482333364
2030,1,5,14,0.506096145,0.327572621
2030,1,5,15,0.887271838,0.811121802
2030,1,5,16,0.786288664,0.649296123
2030,1,5,17,0.03365347,0.986480119
2030,1,5,18,0.889673035,0.331754365
2030,1,5,19,0.549229612,0.580204683
2030,1,5,20,0.992183828,0.853926575
2030,1,5,21,0.763170416,0.281368383
2030,1,5,22,0.757832282,0.612558327
2030,1,5,23,0.708619352,0.164255632
2030,1,6,0,0.806490536,0.994272955
2030,1,6,1,0.763808627,0.210603371
2030,1,6,2,0.552969416,0.547409001
2030,1,6,3,0.219960952,0.163877235
2030,1,6,4,0.2491595,0.83509281
2030,1,6,5,0.759437282,0.877072181
2030,1,6,6,0.953441487,0.51831518
2030,1,6,7,0.945683637,0.091227558
2030,1,6,8,0.132491034,0.38118261
2030,1,6,9,0.928101856,0.411401341
2030,1,6,10,0.92775688,0.499844137
2030,1,6,11,0.379105881,0.087233218
2030,1,6,12,0.589355227,0.428882478
2030,1,6,13,0.051445068,0.974282922
2030,1,6,14,0.041688142,0.949539336
2030,1,6,15,0.242902538,0.752948269
2030,1,6,16,0.609885257,0.104468121
2030,1,6,17,0.312539726,0.075525604
2030,1,6,18,0.902468696,0.800000106
2030,1,6,19,0.292886716,0.51139598
2030,1,6,20,0.705610074,0.565011324
2030,1,6,21,0.116736105,0.955916145
2030,1,6,22,0.985786666,0.949763329
2030,1,6,23,0.152302468,0.504390382
2030,1,7,0,0.804585503,0.390003675
2030,1,7,1,0.232169947,0.963933532
2030,1,7,2,0.020965247,0.294629376
2030,1,7,3,0.147696695,0.647191333
2030,1,7,4,0.471548993,0.613866757
2030,1,7,5,0.533453252,0.095229169
2030,1,7,6,0.884422966,0.788579739
2030,1,7,7,0.822771486,0.911325921
2030,1,7,8,0.924359563,0.506757992
2030,1,7,9,0.978185397,0.496636797
2030,1,7,10,0.250139753,0.435378035
2030,1,7,11,0.518766903,0.235949447
2030,1,7,12,0.331778799,0.006523762
2030,1,7,13,0.454054622,0.954631619
2030,1,7,14,0.323682835,0.417818325
2030,1,7,15,0.526250758,0.577503933
2030,1,7,16,0.96898298,0.839048846
2030,1,7,17,0.090688706,0.969439403
2030,1,7,18,0.316903353,0.64448683
2030,1,7,19,0.978047795,0.120599859
2030,1,7,20,0.657837188,0.269011437
2030,1,7,21,0.811773082,0.211208248
